,id,time,hash,diff
24987,\Red Hot Chili Peppers - Otherside,87.1677097505669,13208606640.0,0.0
24988,\Red Hot Chili Peppers - Otherside,87.19092970521542,13409006240.0,0.0
24989,\Red Hot Chili Peppers - Otherside,87.21414965986395,13808605040.0,0.0
24990,\Red Hot Chili Peppers - Otherside,87.23736961451247,12209006240.0,77.5546485260771
24991,\Red Hot Chili Peppers - Otherside,87.260589569161,12410406840.0,0.0
24992,\Red Hot Chili Peppers - Otherside,87.28380952380952,12008805040.0,0.0
24993,\Red Hot Chili Peppers - Otherside,87.30702947845805,14011407640.0,0.0
24994,\Red Hot Chili Peppers - Otherside,87.33024943310657,13810605240.0,0.0
24995,\Red Hot Chili Peppers - Otherside,87.3534693877551,13211605240.0,0.0
24996,\Red Hot Chili Peppers - Otherside,87.37668934240364,14208606840.0,0.0
24997,\Red Hot Chili Peppers - Otherside,87.39990929705216,14208606840.0,0.0
24998,\Red Hot Chili Peppers - Otherside,87.42312925170069,14208805640.0,0.0
24999,\Red Hot Chili Peppers - Otherside,87.44634920634921,14009006240.0,0.0
25000,\Red Hot Chili Peppers - Otherside,87.46956916099774,13608805440.0,0.0
25001,\Red Hot Chili Peppers - Otherside,87.49278911564626,13408805840.0,0.0
25002,\Red Hot Chili Peppers - Otherside,87.51600907029479,13208605640.0,0.0
25003,\Red Hot Chili Peppers - Otherside,87.53922902494331,13608604040.0,0.0
25004,\Red Hot Chili Peppers - Otherside,87.56244897959184,13409204040.0,0.0
25005,\Red Hot Chili Peppers - Otherside,87.58566893424036,13409204040.0,0.0
25006,\Red Hot Chili Peppers - Otherside,87.60888888888888,13209204040.0,0.0
25007,\Red Hot Chili Peppers - Otherside,87.63210884353742,13208604040.0,0.0
25008,\Red Hot Chili Peppers - Otherside,87.65532879818595,13208604040.0,0.0
25009,\Red Hot Chili Peppers - Otherside,87.67854875283447,13208604040.0,0.0
25010,\Red Hot Chili Peppers - Otherside,87.701768707483,14809204040.0,0.0
25011,\Red Hot Chili Peppers - Otherside,87.72498866213152,14411604040.0,0.0
25012,\Red Hot Chili Peppers - Otherside,87.74820861678005,13208604040.0,0.0
25013,\Red Hot Chili Peppers - Otherside,87.77142857142857,13209204040.0,0.0
25014,\Red Hot Chili Peppers - Otherside,87.7946485260771,13409204040.0,0.0
25015,\Red Hot Chili Peppers - Otherside,87.81786848072562,13409204040.0,0.0
25016,\Red Hot Chili Peppers - Otherside,87.84108843537415,13209206040.0,0.0
25017,\Red Hot Chili Peppers - Otherside,87.86430839002267,13209206640.0,0.0
25018,\Red Hot Chili Peppers - Otherside,87.88752834467121,13808604040.0,0.0
25019,\Red Hot Chili Peppers - Otherside,87.91074829931974,13209006640.0,0.0
25020,\Red Hot Chili Peppers - Otherside,87.93396825396826,12209206640.0,0.0
25021,\Red Hot Chili Peppers - Otherside,87.95718820861678,13210406640.0,0.0
25022,\Red Hot Chili Peppers - Otherside,87.98040816326531,13408804040.0,0.0
25023,\Red Hot Chili Peppers - Otherside,88.00362811791383,13408806640.0,0.0
25024,\Red Hot Chili Peppers - Otherside,88.02684807256236,13409206640.0,0.0
25025,\Red Hot Chili Peppers - Otherside,88.05006802721088,13209206640.0,0.0
25026,\Red Hot Chili Peppers - Otherside,88.07328798185941,13209204040.0,0.0
25027,\Red Hot Chili Peppers - Otherside,88.09650793650793,13209206640.0,0.0
25028,\Red Hot Chili Peppers - Otherside,88.11972789115646,13209206640.0,0.0
25029,\Red Hot Chili Peppers - Otherside,88.142947845805,13408806640.0,0.0
25030,\Red Hot Chili Peppers - Otherside,88.16616780045352,13209005840.0,0.0
25031,\Red Hot Chili Peppers - Otherside,88.18938775510205,13408606440.0,0.0
25032,\Red Hot Chili Peppers - Otherside,88.21260770975057,12410405840.0,0.0
25033,\Red Hot Chili Peppers - Otherside,88.2358276643991,12409605840.0,0.0
25034,\Red Hot Chili Peppers - Otherside,88.25904761904762,12811405240.0,0.0
25035,\Red Hot Chili Peppers - Otherside,88.28226757369615,12609405440.0,0.0
25036,\Red Hot Chili Peppers - Otherside,88.30548752834467,12210804640.0,0.0
25037,\Red Hot Chili Peppers - Otherside,88.3287074829932,12210406240.0,0.0
25038,\Red Hot Chili Peppers - Otherside,88.35192743764172,15009006240.0,0.0
25039,\Red Hot Chili Peppers - Otherside,88.37514739229024,13609006240.0,0.0
25040,\Red Hot Chili Peppers - Otherside,88.39836734693878,13609006240.0,0.0
25041,\Red Hot Chili Peppers - Otherside,88.42158730158731,13609004440.0,0.0
25042,\Red Hot Chili Peppers - Otherside,88.44480725623583,13609005440.0,0.0
25043,\Red Hot Chili Peppers - Otherside,88.46802721088436,13208806240.0,0.0
25044,\Red Hot Chili Peppers - Otherside,88.49124716553288,13209206040.0,0.0
25045,\Red Hot Chili Peppers - Otherside,88.51446712018141,13209206040.0,0.0
25046,\Red Hot Chili Peppers - Otherside,88.53768707482993,13809206040.0,0.0
25047,\Red Hot Chili Peppers - Otherside,88.56090702947846,13209206040.0,0.0
25048,\Red Hot Chili Peppers - Otherside,88.58412698412698,14208006040.0,0.0
25049,\Red Hot Chili Peppers - Otherside,88.6073469387755,14008806040.0,0.0
25050,\Red Hot Chili Peppers - Otherside,88.63056689342403,13609006040.0,79.01750566893423
25051,\Red Hot Chili Peppers - Otherside,88.65378684807257,14009006040.0,0.0
25052,\Red Hot Chili Peppers - Otherside,88.6770068027211,12808806040.0,87.00517006802721
25053,\Red Hot Chili Peppers - Otherside,88.70022675736962,14408206240.0,0.0
25054,\Red Hot Chili Peppers - Otherside,88.72344671201814,14808205040.0,0.0
25055,\Red Hot Chili Peppers - Otherside,88.74666666666667,14808205040.0,0.0
25056,\Red Hot Chili Peppers - Otherside,88.7698866213152,14409205040.0,0.0
25057,\Red Hot Chili Peppers - Otherside,88.79310657596372,13809205040.0,0.0
25058,\Red Hot Chili Peppers - Otherside,88.81632653061224,14209205040.0,0.0
25059,\Red Hot Chili Peppers - Otherside,88.83954648526077,12609205040.0,0.0
25060,\Red Hot Chili Peppers - Otherside,88.8627664399093,13609205040.0,0.0
25061,\Red Hot Chili Peppers - Otherside,88.88598639455782,14209205040.0,0.0
25062,\Red Hot Chili Peppers - Otherside,88.90920634920636,14209206040.0,0.0
25063,\Red Hot Chili Peppers - Otherside,88.93242630385488,14209006040.0,0.0
25064,\Red Hot Chili Peppers - Otherside,88.9556462585034,14209006040.0,0.0
25065,\Red Hot Chili Peppers - Otherside,88.97886621315193,14208605040.0,0.0
25066,\Red Hot Chili Peppers - Otherside,89.00208616780046,14208606240.0,0.0
25067,\Red Hot Chili Peppers - Otherside,89.02530612244898,13808205040.0,0.0
25068,\Red Hot Chili Peppers - Otherside,89.0485260770975,13808605040.0,0.0
25069,\Red Hot Chili Peppers - Otherside,89.07174603174603,13808606040.0,0.0
25070,\Red Hot Chili Peppers - Otherside,89.09496598639456,14209204040.0,0.0
25071,\Red Hot Chili Peppers - Otherside,89.11818594104308,13208605040.0,0.0
25072,\Red Hot Chili Peppers - Otherside,89.1414058956916,13208204040.0,0.0
25073,\Red Hot Chili Peppers - Otherside,89.16462585034014,13208607240.0,0.0
25074,\Red Hot Chili Peppers - Otherside,89.18784580498867,13808605040.0,0.0
25075,\Red Hot Chili Peppers - Otherside,89.2110657596372,13610007040.0,0.0
25076,\Red Hot Chili Peppers - Otherside,89.23428571428572,13008404440.0,0.0
25077,\Red Hot Chili Peppers - Otherside,89.25750566893424,12612005040.0,0.0
25078,\Red Hot Chili Peppers - Otherside,89.28072562358277,14811205040.0,0.0
25079,\Red Hot Chili Peppers - Otherside,89.30394557823129,15011005040.0,0.0
25080,\Red Hot Chili Peppers - Otherside,89.32716553287982,14411804440.0,0.0
25081,\Red Hot Chili Peppers - Otherside,89.35038548752834,13410004440.0,0.0
25082,\Red Hot Chili Peppers - Otherside,89.37360544217687,12810404440.0,0.0
25083,\Red Hot Chili Peppers - Otherside,89.39682539682539,14010004440.0,0.0
25084,\Red Hot Chili Peppers - Otherside,89.42004535147393,14008405240.0,0.0
25085,\Red Hot Chili Peppers - Otherside,89.44326530612246,13008205040.0,0.0
25086,\Red Hot Chili Peppers - Otherside,89.46648526077098,12408205040.0,0.0
25087,\Red Hot Chili Peppers - Otherside,89.4897052154195,14408205040.0,0.0
25088,\Red Hot Chili Peppers - Otherside,89.51292517006803,13608205040.0,0.0
25089,\Red Hot Chili Peppers - Otherside,89.53614512471655,14008205040.0,0.0
25090,\Red Hot Chili Peppers - Otherside,89.55936507936508,12408205040.0,0.0
25091,\Red Hot Chili Peppers - Otherside,89.5825850340136,13408205040.0,0.0
25092,\Red Hot Chili Peppers - Otherside,89.60580498866213,13608805040.0,0.0
25093,\Red Hot Chili Peppers - Otherside,89.62902494331065,13408205040.0,0.0
25094,\Red Hot Chili Peppers - Otherside,89.65224489795918,13608805040.0,0.0
25095,\Red Hot Chili Peppers - Otherside,89.67546485260772,12210006040.0,0.0
25096,\Red Hot Chili Peppers - Otherside,89.69868480725624,14011604640.0,0.0
